timestamp: 11/05/2015 8:14:57.906 PM, source: 20002, destination: 41192, Sequence # : 164, ACK # : 155, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.906 PM, source: 20002, destination: 41192, Sequence # : 165, ACK # : 156, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.906 PM, source: 20002, destination: 41192, Sequence # : 166, ACK # : 157, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.907 PM, source: 20002, destination: 41192, Sequence # : 167, ACK # : 158, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.907 PM, source: 20002, destination: 41192, Sequence # : 168, ACK # : 159, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.908 PM, source: 20002, destination: 41192, Sequence # : 169, ACK # : 160, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.908 PM, source: 20002, destination: 41192, Sequence # : 170, ACK # : 161, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.911 PM, source: 20002, destination: 41192, Sequence # : 171, ACK # : 162, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.911 PM, source: 20002, destination: 41192, Sequence # : 172, ACK # : 163, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.912 PM, source: 20002, destination: 41192, Sequence # : 173, ACK # : 164, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.913 PM, source: 20002, destination: 41192, Sequence # : 174, ACK # : 165, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.913 PM, source: 20002, destination: 41192, Sequence # : 175, ACK # : 166, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.914 PM, source: 20002, destination: 41192, Sequence # : 176, ACK # : 167, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.914 PM, source: 20002, destination: 41192, Sequence # : 177, ACK # : 168, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.915 PM, source: 20002, destination: 41192, Sequence # : 178, ACK # : 169, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.915 PM, source: 20002, destination: 41192, Sequence # : 179, ACK # : 170, fin: 0 Estimated RTT: 6 ms
